STOP_ID,STOP_NAME,STOP_LAT,STOP_LON,LOCATION_T,PARENT_STA,TRIP_COUNT,TRIP_IDS,ROUTE_IDS,ROUTE_NAMS
"0101ROK","Rosslyn Road/Karura Community Chapel",-1.216499805,36.79930687,0,"NULL",5,"10106111 10107111 10114111 10116111 1011F111","10300106011 10400010711 10000114011 10000116011 10300011F11","106 107 114R 116 11B"
"0101ROR","Rosslyn Road/Riviera",-1.217250824,36.80042267,0,"NULL",5,"10106111 10107111 10114111 10116111 1011F111","10300106011 10400010711 10000114011 10000116011 10300011F11","106 107 114R 116 11B"
"0101RSH","Roslyn Heights",-1.223669,36.78283199999,0,"NULL",1,"10108111","10200010811","108"
"0101RUA","Marurui",-1.210805833,36.8751812,0,"NULL",1,"1107D111","10000107D11","107D"
"0101RUD","Runda Road",-1.215523,36.815038,0,"NULL",1,"1107D111","10000107D11","107D"
"0101SDA","SDA Church",-1.223143,36.781961,0,"NULL",1,"10108111","10200010811","108"
"0101SHR","Shakers/Rosslyn Gate",-1.21115,36.79023999999,0,"NULL",5,"10106111 10107111 10114111 10116111 1011F111","10300106011 10400010711 10000114011 10000116011 10300011F11","106 107 114R 116 11B"
"0101SHT","Sacred Heart",-1.186283,36.76742099999,0,"NULL",2,"10106111 10116111","10300106011 10000116011","106 116"
"0101SLT","Slaughter",-1.20523,36.77754,0,"NULL",2,"10107111 10114111","10400010711 10000114011","107 114R"
"0101STP","Stima Plaza",-1.27043,36.82048,0,"NULL",6,"10106111 10107111 10114111 10116111 1011A111 1011F111","10300106011 10400010711 10000114011 10000116011 10100011A11 10300011F11","106 107 114R 116 11A 11B"
"0101TIG","Tigoni",-1.126739,36.671944,0,"NULL",1,"10116111","10000116011","116"
"0101VRY","Victory",-1.181719,36.762391,0,"NULL",2,"10106111 10116111","10300106011 10000116011","106 116"
"0101WBR","Wambugu Road",-1.26799,36.82126999999,0,"NULL",6,"10106111 10107111 10114111 10116111 1011A111 1011F111","10300106011 10400010711 10000114011 10000116011 10100011A11 10300011F11","106 107 114R 116 11A 11B"
"0101WIA","Kwa Kuria",-1.218400365,36.774652,0,"NULL",1,"10108111","10200010811","108"
"0101WID","Windsor Advice",-1.215566,36.850327,0,"NULL",1,"1107D111","10000107D11","107D"
"0101YSA","Nyari West",-1.224193937,36.78374468999,0,"NULL",1,"10108111","10200010811","108"
